batch_id|batch_number|rows_migrated|total_migrated|finished|duration_ms
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|153|250|38250|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|154|250|38500|f|459
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|155|250|38750|f|322
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|156|250|39000|f|367
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|157|250|39250|f|328
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|158|250|39500|f|331
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|159|250|39750|f|351
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|160|250|40000|f|416
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|161|250|40250|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|162|250|40500|f|331
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|163|250|40750|f|352
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|164|250|41000|f|332
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|165|250|41250|f|334
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|166|250|41500|f|337
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|167|250|41750|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|168|250|42000|f|329
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|169|250|42250|f|346
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|170|250|42500|f|344
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|171|250|42750|f|324
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|172|250|43000|f|327
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|173|250|43250|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|174|250|43500|f|329
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|175|250|43750|f|328
progress|batch=175|rows=43750
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|176|250|44000|f|402
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|177|250|44250|f|360
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|178|250|44500|f|330
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|179|250|44750|f|359
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|180|250|45000|f|369
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|181|250|45250|f|373
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|182|250|45500|f|370
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|183|250|45750|f|421
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|184|250|46000|f|382
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|185|250|46250|f|479
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|186|250|46500|f|550
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|187|250|46750|f|623
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|188|250|47000|f|369
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|189|250|47250|f|397
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|190|250|47500|f|357
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|191|250|47750|f|429
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|192|250|48000|f|372
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|193|250|48250|f|363
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|194|250|48500|f|340
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|195|250|48750|f|447
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|196|250|49000|f|405
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|197|250|49250|f|342
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|198|250|49500|f|358
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|199|250|49750|f|366
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|200|250|50000|f|418
progress|batch=200|rows=50000
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|201|250|50250|f|331
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|202|250|50500|f|322
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|203|250|50750|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|204|250|51000|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|205|250|51250|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|206|250|51500|f|335
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|207|250|51750|f|354
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|208|250|52000|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|209|250|52250|f|304
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|210|250|52500|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|211|250|52750|f|321
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|212|250|53000|f|343
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|213|250|53250|f|323
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|214|250|53500|f|517
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|215|250|53750|f|337
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|216|250|54000|f|320
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|217|250|54250|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|218|250|54500|f|339
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|219|250|54750|f|331
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|220|250|55000|f|303
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|221|250|55250|f|319
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|222|250|55500|f|305
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|223|250|55750|f|307
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|224|250|56000|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|225|250|56250|f|320
progress|batch=225|rows=56250
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|226|250|56500|f|411
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|227|250|56750|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|228|250|57000|f|334
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|229|250|57250|f|313
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|230|250|57500|f|369
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|231|250|57750|f|340
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|232|250|58000|f|333
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|233|250|58250|f|378
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|234|250|58500|f|439
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|235|250|58750|f|335
